group,time,survival
High risk,122.2,0.4830880074409533
High risk,122.26666670000002,0.4830880074409533
High risk,125.6,0.4700315748074141
High risk,125.7,0.4700315748074141
High risk,125.8,0.4700315748074141
High risk,132.2,0.4562071167248431
High risk,132.3333333,0.4423826586422721
High risk,135.16666669999998,0.4423826586422721
High risk,140.6,0.4423826586422721
High risk,140.7666667,0.427636570020863
High risk,144.43333330000002,0.427636570020863
High risk,149.8666667,0.427636570020863
High risk,151.9,0.427636570020863
High risk,152.93333330000002,0.41118900963544525
High risk,160.4,0.41118900963544525
High risk,164.7333333,0.41118900963544525
High risk,169.66666669999998,0.41118900963544525
High risk,177.6333333,0.41118900963544525
High risk,182.8333333,0.41118900963544525
High risk,184.2666667,0.41118900963544525
High risk,185.7,0.3895474828125271
High risk,193.1666667,0.3895474828125271
High risk,194.2,0.3895474828125271
High risk,204.4,0.3895474828125271
High risk,206.5666667,0.3895474828125271
High risk,224.4333333,0.3895474828125271
High risk,226.7,0.3895474828125271
High risk,234.4,0.3895474828125271
High risk,235.6666667,0.3895474828125271
High risk,236.0666667,0.3895474828125271
High risk,248.7666667,0.3895474828125271
High risk,250.6666667,0.3895474828125271
High risk,255.1,0.3895474828125271
High risk,255.2666667,0.3895474828125271
High risk,262.1333333,0.3895474828125271
High risk,262.8666667,0.3895474828125271
High risk,267.4,0.3895474828125271
High risk,271.3333333,0.3895474828125271
High risk,274.4,0.3895474828125271
